,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:
59,Ford,Bronco,2022,SUV / crossover,,,1 mi,1FMEE5DP6NLB30846,NLB30846,4WD,Bill Utter Ford,"4901 S Interstate 35 Denton, TX 76210",Advanced 4-Door 4WD
60,Ford,Bronco,2022,SUV / crossover,,,1 mi,1FMEE5DPXNLB31207,NLB31207,4WD,Bill Utter Ford,"4901 S Interstate 35 Denton, TX 76210",Advanced 4-Door 4WD
61,Ford,Bronco,2022,SUV / crossover,,,5 mi,1FMDE5CP2NLB30694,NLB30694,4WD,Bill Utter Ford,"4901 S Interstate 35 Denton, TX 76210",Advanced 2-Door 4WD
62,Ford,Bronco,2022,SUV / crossover,White,Black,25 mi,1FMEE5DP1NLB30348,49691,Bronco,Mac Haik Ford Desoto,"515 I-35 Se Desoto, TX 75115",
63,Ford,Bronco,2022,SUV / crossover,Black,Black,25 mi,1FMEE5DH8NLB30937,49690,Bronco,Mac Haik Ford Desoto,"515 I-35 Se Desoto, TX 75115",
64,Ford,Bronco,2021,SUV / crossover,Carbonized Gray Metallic,Gray (Medium Sandstone),"9,737 mi",1FMEE5DP1MLA65175,FA1343,4WD,Mac Haik Ford Desoto,"515 I-35 Se Desoto, TX 75115",Wildtrak Advanced 4-Door 4WD
65,Ford,Maverick,2022,Pickup truck,Oxford White,Black Onyx/Medium Dark Slate,8 mi,3FTTW8E90NRA67741,NRA67741,"$25,490",North Central Ford,"1819 North Central Expressway Richardson, TX 75080",XL SuperCrew FWD
66,Ford,Maverick,2022,Coupe,Iconic Silver,Black Onyx/Medium Dark Slate,0 mi,3FTTW8E96NRA84009,NRA84009,"$32,675",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",
67,Ford,Maverick,2022,Coupe,Blue (Area 51),Black Onyx/Medium Dark Slate,0 mi,3FTTW8E9XNRA83302,NRA83302,"$32,690",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",
68,Ford,Maverick,2022,Coupe,Gray (Cactus Grey),Black Onyx/Medium Dark Slate,2 mi,3FTTW8E9XNRA77130,NRA77130,"$33,225",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",
69,Ford,Maverick,2022,Coupe,Velocity Blue,Black Onyx/Medium Dark Slate,0 mi,3FTTW8E95NRA78654,NRA78654,"$33,400",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",
70,Ford,Maverick,2022,Coupe,Gray (Cactus Grey),Black Onyx/Medium Dark Slate,0 mi,3FTTW8F97NRA83921,NRA83921,"$34,795",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",
71,Ford,Maverick,2022,Pickup truck,Gray (Cactus Grey),Desert Brown,29 mi,3FTTW8F94NRA74786,NRA74786,"$47,840",Grapevine Ford Lincoln,"801 E State Highway 114 Grapevine, TX 76051",Lariat SuperCrew AWD
72,Ford,Maverick,2022,Coupe,Gray (Carbonized Grey Metallic),Blue (Navy Pier/Medium Slate),0 mi,3FTTW8F93NRA77856,NRA77856,"$39,355",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",
73,Ford,Maverick,2022,Pickup truck,Gray,Gray,193 mi,3FTTW8F98NRA45047,2001820371,"$41,990",Carvana,"701 E. Palace Parkway Grand Prairie, TX 75050",XLT SuperCrew AWD
74,Ford,Maverick,2022,Coupe,Velocity Blue Metallic,Desert Brown,0 mi,3FTTW8E94NRA78290,NRA78290,"$42,955",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",
75,Ford,Maverick,2022,Pickup truck,Blue,Black,229 mi,3FTTW8F99NRA41511,2001774094,"$42,990",Carvana,"701 E. Palace Parkway Grand Prairie, TX 75050",XLT SuperCrew AWD
76,Ford,Maverick,2022,Coupe,Desert Brown,Desert Brown,0 mi,3FTTW8E38NRA74206,NRA74206,"$43,245",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",
77,Ford,Maverick,2022,Pickup truck,Gray,Gray,58 mi,3FTTW8F98NRA53665,2001829203,"$43,590",Carvana,"701 E. Palace Parkway Grand Prairie, TX 75050",XLT SuperCrew AWD
78,Ford,Maverick,2022,Coupe,Blue,,10 mi,3FTTW8E9XNRA75197,NRA75197,Maverick,Bill Utter Ford,"4901 S Interstate 35 Denton, TX 76210",
79,GMC,Hummer,2022,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,8 mi,1GT40FDA4NU100450,B44982,"$110,295",Haggerty Buick GMC Inc,"300 W Roosevelt Rd Villa Park, IL 60181",Edition 1 Crew Cab AWD
80,GMC,Hummer,2022,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),10 mi,1GT40FDA6NU100367,9N457,"$110,295",Haggerty Buick GMC Inc,"300 W Roosevelt Rd Villa Park, IL 60181",Edition 1 Crew Cab AWD
81,GMC,Hummer,2022,SUV / crossover,INTERSTELLAR WHITE,JET BLACK/LIGHT GREY,8 mi,1GT40FDA2NU100253,NU100253,"$111,144",Buick GMC of Beaverton,"9155 SW Canyon Road Portland, OR 97225",Edition 1 Crew Cab AWD
82,GMC,Hummer,2022,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),13 mi,1GT40FDA3NU100794,NU100794,"$112,839",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD
83,GMC,Hummer,2022,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),5 mi,1GT40FDAXNU100422,22T00422,"$113,744",Hardin Buick GMC,"1321 Auto Center Dr Anaheim, CA 92806",Edition 1 Crew Cab AWD
84,GMC,Hummer,2022,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/light Grey),5 mi,1GT40FDAXNU100341,N1591,AWD,Rivard Buick GMC,"9740 Adamo Dr Tampa, FL 33619",Edition 1 Crew Cab AWD
85,GMC,Hummer,2022,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,5 mi,1GT40FDA8NU100645,G22158,"$114,290",Rivard Buick GMC,"9740 Adamo Dr Tampa, FL 33619",Edition 1 Crew Cab AWD
86,GMC,Hummer,2022,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),11 mi,1GT40FDA6NU100305,NU100305,"$114,590",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD
87,GMC,Hummer,2022,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,0 mi,1GT40FDAXNU100517,60517,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD
88,GMC,Hummer,2022,SUV / crossover,Interstellar White,Lunar Horizon (Jet Black/Light Grey),3 mi,1GT40FDA3NU100729,20239,"$115,139",Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Edition 1 Crew Cab AWD
