,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gasage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
75,Ford,Maverick,2022,Pickup truck,Blue,Black,229,3FTTW8F99NRA41511,2001774094,42990,Carvana,701 E. Palace Parkway Grand Prairie TX 75050,XLT SuperCrew AWD,,,,0,,,,,,,,,,,,,
76,Ford,Maverick,2022,Coupe,Desert Brown,Desert Brown,0,3FTTW8E38NRA74206,NRA74206,43245,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,,,,,0,,,,,,,,,,,,,
77,Ford,Maverick,2022,Pickup truck,Gray,Gray,58,3FTTW8F98NRA53665,2001829203,43590,Carvana,701 E. Palace Parkway Grand Prairie TX 75050,XLT SuperCrew AWD,,,,0,,,,,,,,,,,,,
78,Ford,Maverick,2022,Coupe,Blue,,10,3FTTW8E9XNRA75197,NRA75197,Maverick,Bill Utter Ford,4901 S Interstate 35 Denton TX 76210,,,,,0,,,,,,,,,,,,,
79,GMC,Hummer,2022,SUV  crossover,Interstellar White,Lunar Horizon Jet Blacklight Grey Premium Leath,8,1GT40FDA4NU100450,B44982,110295,Haggerty Buick GMC Inc,300 W Roosevelt Rd Villa Park IL 60181,Edition 1 Crew Cab AWD,,,,0,,,,,,,,,,,,,
80,GMC,Hummer,2022,SUV  crossover,Interstellar White,Lunar Horizon Jet BlackLight Grey,10,1GT40FDA6NU100367,9N457,110295,Haggerty Buick GMC Inc,300 W Roosevelt Rd Villa Park IL 60181,Edition 1 Crew Cab AWD,,,,0,,,,,,,,,,,,,
81,GMC,Hummer,2022,SUV  crossover,INTERSTELLAR WHITE,JET BLACKLIGHT GREY,8,1GT40FDA2NU100253,NU100253,111144,Buick GMC of Beaverton,9155 SW Canyon Road Portland OR 97225,Edition 1 Crew Cab AWD,,,,0,,,,,,,,,,,,,
82,GMC,Hummer,2022,SUV  crossover,Interstellar White,Lunar Horizon Jet BlackLight Grey,13,1GT40FDA3NU100794,NU100794,112839,Sterling McCall Buick GMC,10422 Southwest Fwy Building D Houston TX 77074,Edition 1 Crew Cab AWD,,,,0,,,,,,,,,,,,,
83,GMC,Hummer,2022,SUV  crossover,Interstellar White,Lunar Horizon Jet BlackLight Grey,5,1GT40FDAXNU100422,22T00422,113744,Hardin Buick GMC,1321 Auto Center Dr Anaheim CA 92806,Edition 1 Crew Cab AWD,,,,0,,,,,,,,,,,,,
84,GMC,Hummer,2022,SUV  crossover,Interstellar White,Lunar Horizon Jet Blacklight Grey,5,1GT40FDAXNU100341,N1591,AWD,Rivard Buick GMC,9740 Adamo Dr Tampa FL 33619,Edition 1 Crew Cab AWD,,,,0,,,,,,,,,,,,,
