VIN Number,MSRP,Dealer's Price,Price,Make,Model,Year,Transmission,Mileage,Dealer Name,Dealer Address
1C4HJXDG6NW231425,"$52,210 ","$49,110 ","$49,110 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDG0NW227581,"$52,560 ","$49,460 ","$49,460 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDG0NW227578,"$52,560 ","$49,460 ","$49,460 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDG9NW227577,"$52,560 ","$49,460 ","$49,460 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDG9NW194970,"$50,220 ","$49,771 ","$49,771 ",,Wrangler,2022,8-Speed Automatic,10 miles,Atascosa Chrysler Dodge Jeep,"110128 I-37 Pleasanton, TX 78064"
1C4HJXEN3NW253136,"$50,395 ","$50,395 ","$50,395 ",,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4HJXEN5NW253137,"$50,790 ","$50,790 ","$50,790 ",,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4HJXEN1NW253135,"$50,790 ","$50,790 ","$50,790 ",,Wrangler,2022,Automatic,0 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4HJXEG7NW260091,"$51,035 ","$51,035 ","$51,035 ",,Wrangler,2022,Automatic,15 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4HJXDG7NW200846,"$51,165 ","$51,088 ","$51,088 ",,Wrangler,2022,Automatic,65 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4HJXDM6NW255603,"$51,215 ","$51,138 ","$51,138 ",,Wrangler,2022,Automatic,8 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4HJXDG3NW224349,"$50,860 ","$50,860 ","$51,259 ",,Wrangler,2022,Automatic,0 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
1C4HJXDG2NW115655,"$52,230 ","$52,152 ","$52,152 ",,Wrangler,2022,Automatic,12 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
